"FileId","RepoRelativePath","FileName","Extension","HasKidsSignal","HasRouteSignal","HasProgressSignal","HasGameSignal","Sha256","Status"
"KID-SRC-053","__BASELINE_FRONTEND_PHASE5_20260104_110518/_legacy_js_backup_20251208/ResultBanner.js","ResultBanner.js",".js","YES","NO","NO","NO","3D68689AA55AD591C1AD6C57D2E4A37D34ADBE7EBD0D088757A742D7247AB0F4","DISCOVERED"
"KID-SRC-054","__BASELINE_FRONTEND_PHASE5_20260104_110518/api.ts","api.ts",".ts","NO","NO","YES","YES","2522406D72C5C40239005CF589C1BCAD3869769FCEDE4EAFB0CBEAEC8E9C67E9","DISCOVERED"
"KID-SRC-055","__BASELINE_FRONTEND_PHASE5_20260104_110518/App.tsx","App.tsx",".tsx","NO","NO","YES","YES","7F304ED35F481297B68FF5F0304B0BD8FB3F4346F84072E40BD28E48F8529A97","DISCOVERED"
"KID-SRC-056","__BASELINE_FRONTEND_PHASE5_20260104_110518/components/ErrorBoundary.tsx","ErrorBoundary.tsx",".tsx","YES","NO","NO","NO","1A9BFE349FB488F29E5711EA2905B850332B8D0765B07A5BFCEAD997F8B5513A","DISCOVERED"
"KID-SRC-057","__BASELINE_FRONTEND_PHASE5_20260104_110518/components/GamePanel.tsx","GamePanel.tsx",".tsx","NO","NO","NO","YES","4F415D798265C6DA6B0ABB9F1D1F24EAD529B5456009556B3DE5E577A144934F","DISCOVERED"
"KID-SRC-058","__BASELINE_FRONTEND_PHASE5_20260104_110518/components/HealthPanel.tsx","HealthPanel.tsx",".tsx","NO","NO","YES","YES","1D3445A9AD8264905297A7E81DFE0A9CA4D61CAFC1B0ED58BDF61B2F72913D98","DISCOVERED"
"KID-SRC-059","__BASELINE_FRONTEND_PHASE5_20260104_110518/components/ProgressPanel.tsx","ProgressPanel.tsx",".tsx","NO","NO","YES","NO","ED4944258AEF2CC2B0305079EA9144BC9931E163F610312F922B800B0F4B17B3","DISCOVERED"
"KID-SRC-060","__BASELINE_FRONTEND_PHASE5_20260104_110518/daily-challenge/dailyChallengeApi.ts","dailyChallengeApi.ts",".ts","NO","NO","YES","YES","1750792CB60AB3B822BAFE7B6A1E12317E9E75DA8F4234D200826DC4FB43FCFB","DISCOVERED"
"KID-SRC-061","__BASELINE_FRONTEND_PHASE5_20260104_110518/daily-challenge/DailyChallengeDetailPage.tsx","DailyChallengeDetailPage.tsx",".tsx","NO","NO","YES","YES","5912AD79550E7FF5B96FBAAB50E0A1186B06A9E02A773771956F3735F304F7AB","DISCOVERED"
"KID-SRC-062","__BASELINE_FRONTEND_PHASE5_20260104_110518/daily-challenge/DailyChallengeHomeCard.tsx","DailyChallengeHomeCard.tsx",".tsx","NO","NO","YES","YES","532AB5CF585EC0113F0BC9C253336924291662261DF39BCB0E8E145B3BBA3142","DISCOVERED"
"KID-SRC-063","__BASELINE_FRONTEND_PHASE5_20260104_110518/daily-challenge/models.ts","models.ts",".ts","NO","NO","YES","YES","FEB2B904CEC083F4A0177770634EAF284DF88ABA6D930A178430624FC10FADAC","DISCOVERED"
"KID-SRC-064","__BASELINE_FRONTEND_PHASE5_20260104_110518/pages/Daily.tsx","Daily.tsx",".tsx","NO","NO","NO","YES","974AC1D5C66B9B7CD7798F0863D4ECF51E8F3AC970A148E70819BB930481262D","DISCOVERED"
"KID-SRC-065","__BASELINE_FRONTEND_PHASE5_20260104_110518/pages/Progress.tsx","Progress.tsx",".tsx","NO","NO","YES","YES","16365C895C23BB65CCE5008EB494509B32384BE27F6A7FDF15AFA5A49E556975","DISCOVERED"
"KID-SRC-066","__BASELINE_FRONTEND_PHASE5_20260104_110518/pages/PuzzlesPlay.tsx","PuzzlesPlay.tsx",".tsx","NO","NO","YES","YES","500A7D9EB793411EFBBCB6198F73CC7C2FE6E29803A7438C1938E0F2366AD4F1","DISCOVERED"
"KID-SRC-067","__BASELINE_FRONTEND_PHASE5_20260104_110518/pages/SolvePuzzle.tsx","SolvePuzzle.tsx",".tsx","NO","NO","YES","YES","6CBDD134108B5A1567FA40406EC18A0E3A115B76671B666FD0C0C67510A5FAA6","DISCOVERED"
"KID-SRC-068","__BASELINE_FRONTEND_PHASE5_20260104_110518/progress/ProgressPage.tsx","ProgressPage.tsx",".tsx","NO","NO","YES","YES","3ABFEAFB53F6B42B796132483FEB700E95C568F097FF4FFA28DE6804890EA052","DISCOVERED"
"KID-SRC-069","__BASELINE_FRONTEND_PHASE5_20260104_110518/puzzles/phase5/phase5.registry.ts","phase5.registry.ts",".ts","NO","NO","NO","YES","9AF5677091C8A8800AB7BB3AA2D05045FAA678BB9F2969F42215DEE4C308009A","DISCOVERED"
